distance a la source (cm)	V-pp (mV)
60	731,2
59,8	712,5
59,6	693,8
59,4	643,8
59,2	618,8
59	556,3
58,8	518,8
58,6	450
58,4	425
58,2	406,3
58	337,5
57,8	346,9
57,6	290,6
57,4	321,8
57,2	278,1
57	290,6
56,8	271,9
56,6	250
56,4	271
56,2	235,9
56	225
55,8	182,2
55,6	173,4
55,4	106,8
55,2	100
55	120,3
54,8	65,2
54,6	146,9
54,4	140,6
54,2	160,2
54	230
53,8	248
53,6	264
53,4	246,2
53,2	312,5
53	290,2
52,8	303,4
52,6	295,3
52,4	298,2
52,2	309,6
52	240,2
51,8	335,9
51,6	303,1
51,4	368,8
51,2	367,4
51	396,9
50,8	384,4
50,6	371,9
50,4	440,6
50,2	421,9
50	431,2
49,8	440,6
49,6	412,5
49,4	368,8
49,2	334,5
49	325,2
48,8	240,7
48,6	303,1
48,4	184,4
48,2	162,6
48	194
47,8	95,31
47,6	100,2
47,4	106,2
47,2	156,4
47	165,4
46,8	270,3
46,6	345,6
46,4	296,6
46,2	387,4
46	471,9
45,8	462,5
45,6	496,6
45,4	621,5
45,2	618,8
45	715,6
44,8	756,2
44,6	806,2
44,4	893,8
44,2	862,5
44	931,3
43,8	925
43,6	950
43,4	856,2
43,2	906,3
43	800
42,8	837,5
42,6	668,8
42,4	725
42,2	725
42	612,5
41,8	643,8
41,6	531,2
41,4	487,5
41,2	475
41	450
40,8	356,2
40,6	393,8
40,4	325
40,2	400
40	412,5
39,8	450
39,6	537,5
39,4	575
39,2	168,8
39	725,8
38,8	718,8
38,6	837,5
38,4	856,2
38,2	850
38	931,2
37,8	862,5
37,6	956,2
37,4	931,2
37,2	918,8
37	856,3
36,8	837,5
36,6	806,2
36,4	812,5
36,2	700
36	668,8
35,8	562,5
35,6	475
35,4	431,2
35,2	350
35	337,5
34,8	321,9
34,6	381,2
34,4	403,1
34,2	421,9
34	478,1
33,8	440,6
33,6	550
33,4	531,2
33,2	528,1
33	540,6
32,8	465,6
32,6	481
32,4	293,8
32,2	340,6
32	321,9
31,8	243,6
31,6	318,8
31,4	256,2
31,2	340,6
31	503,1
30,8	346,4
30,6	675,9
30,4	590,6
30,2	743,8
30	775
29,8	693,8
29,6	875
29,4	675
29,2	862,1
29	618,8
28,8	593,8
28,6	637,1
28,4	418,8
28,2	546,9
28	453,3
27,8	509,1
27,6	550
27,4	503,3
27,2	646,4
27	571,9
26,8	568,8
26,6	634,4
26,4	515,5
26,2	706,6
26	487,5
25,8	509,9
25,6	665,2
25,4	393,5
25,2	662,5
25	687,5
24,8	515,6
24,6	818,8
24,4	675
24,2	831,2
24	806,2
23,8	662,5
23,6	718,8
23,4	656,2
23,2	693,8
23	506,3
22,8	581,2
22,6	593,8
22,4	568,8
22,2	768,8
22	618,8
21,8	925
21,6	737,5
21,4	768,8
21,2	912,5
21	593,9
20,8	806,2
20,6	675
20,4	537,5
20,2	693,8
20	662,5
19,8	918,8
19,6	868,8
19,4	587,5
19,2	1062
19	775
18,8	856
18,6	900
18,4	556,3
18,2	937,5
18	681
17,8	862,5
17,6	1019
17,4	737,5
